2019-01-11 17:17:05.628200	S_L		S_M		S_R		Dis_1		Dis_2		Act
2019-01-11 17:18:16.994742	0		0		0		74		111		w
2019-01-11 17:18:17.148119	0		0		0		74		43		w
2019-01-11 17:18:17.301573	0		0		0		74		96		w
2019-01-11 17:18:17.452983	0		0		0		77		9		w
2019-01-11 17:18:17.604696	0		0		0		77		80		w
2019-01-11 17:18:17.755834	0		0		0		0		71		w
2019-01-11 17:18:17.907156	0		0		0		84		62		w
2019-01-11 17:18:18.058217	0		0		0		88		54		w
2019-01-11 17:18:18.207635	0		0		0		75		46		w
2019-01-11 17:18:18.357783	0		0		0		90		41		a
2019-01-11 17:18:18.510143	0		1		0		111		60		a
2019-01-11 17:18:18.662612	0		0		0		48		125		a
2019-01-11 17:18:18.898445	0		0		0		36		120		w
2019-01-11 17:18:19.050374	0		0		0		49		112		w
2019-01-11 17:18:19.202233	0		0		0		55		104		w
2019-01-11 17:18:19.353494	0		0		0		54		96		w
2019-01-11 17:18:19.504398	0		0		0		57		88		w
2019-01-11 17:18:19.655405	0		0		0		62		80		w
2019-01-11 17:18:19.806564	0		0		0		64		72		w
2019-01-11 17:18:19.957474	0		0		0		67		65		w
2019-01-11 17:18:20.108105	0		0		0		71		62		a
2019-01-11 17:18:20.265423	0		0		0		99		154		a
2019-01-11 17:18:20.420309	0		0		0		64		146		a
2019-01-11 17:18:20.574785	0		0		0		63		143		w
2019-01-11 17:18:20.729055	0		0		0		66		135		w
2019-01-11 17:18:20.883641	0		0		0		69		127		w
2019-01-11 17:18:21.037745	0		0		0		72		121		w
2019-01-11 17:18:21.191151	0		0		0		76		112		w
2019-01-11 17:18:21.344162	0		0		0		79		102		w
2019-01-11 17:18:21.496914	0		0		0		83		93		w
2019-01-11 17:18:21.649481	0		0		0		85		86		w
2019-01-11 17:18:21.802352	0		0		0		69		76		w
2019-01-11 17:18:21.954773	0		0		0		93		70		w
2019-01-11 17:18:22.106650	0		0		0		98		63		w
2019-01-11 17:18:22.258351	0		0		0		107		54		w
2019-01-11 17:18:22.424256	0		0		0		105		296		w
2019-01-11 17:18:22.582129	0		1		0		114		123		a
2019-01-11 17:18:22.738382	0		0		1		111		113		a
2019-01-11 17:18:22.904749	0		0		1		209		101		a
2019-01-11 17:18:23.055360	0		0		0		43		97		a
2019-01-11 17:18:23.220876	0		1		0		295		99		w
2019-01-11 17:18:23.375617	0		0		0		116		94		w
2019-01-11 17:18:23.530224	0		0		0		110		87		w
2019-01-11 17:18:23.681461	0		0		0		62		82		w
2019-01-11 17:18:23.838436	0		0		0		68		182		w
